review_body,course_title,score,course_stage,review_date,user_name
"""""""Can't complain. It's very clear and helpful to beginners, and also useful to reinforce prior knowledge. Really cute and fun interface as well!""""""",Finance: Time Value of Money,10/10 stars,,2015-11-07,student
"""""""That was actually very good. Started off and seemed overly simple but quickly built and allowed skipping if you understood. The topic was clear and well covered.""""""",Finance: Time Value of Money,10/10 stars,,2018-08-17,Martin Platt
"""""""This was my first Smartly course and I love the format. It's like solving puzzles. The teaching method is far better than traditional lecture - fast, instant feedback, pause any time.""""""",Finance: Time Value of Money,10/10 stars,,2018-08-15,Sara Bosse
"""""""Something new to me! I do not have a financial background. Helped me a lot as I'm thinking of opening a shop as it happens. It's clearer now than ever. Great!""""""",Finance: Time Value of Money,10/10 stars,,2018-08-10,student
"""""""Easy to understand and follow! useful & relevant examples given! Overall great! Thanks for the effort of making this easy & useful for us! Thank you!""""""",Finance: Time Value of Money,10/10 stars,,2018-08-10,student
"""""""The course was delivered in such a way that the any one, be it novice or expert, would easily understand it. The teaching interface was very seamless and there was not issues getting around the course. Looking forward to other courses.""""""",Finance: Time Value of Money,10/10 stars,,2018-08-09,ANIETIE OKUK
"""""""I'm thankful for the provider for this wonderful opportunity. I was using the financial methods mentioned in the course, but always have some mistakes and were not understanding why I'm using the methods like that. Now I know.""""""",Finance: Time Value of Money,10/10 stars,,2018-08-07,Ahmed Abu Shaban
"""""""I love algebra and was good at it. But going through this lesson  again after 8 years made it look muh simpler. This was not how easy it was thought back when I studied. Smartly has made this much simpler and it's great.""""""",Finance: Time Value of Money,10/10 stars,,2018-08-07,student
"""""""I love algebra and was good at it. But going through this lesson  again after 8 years made it look muh simpler. This was not how easy it was thought back when I studied. Smartly has made this much simpler and it's great.""""""",Finance: Time Value of Money,10/10 stars,,2018-08-07,Eric Kwetey
"""""""Conversational English is a fantastic way to provide content. I can't wait to keep going. The buttons and colors make everything intuitive as well. Green=Good yellow=Try Again. As straight forward as it gets.""""""",Finance: Time Value of Money,10/10 stars,,2018-08-06,Halston Burress
"""""""IT WAS WONDERFUL. I enjoyed every bit of it and I hope they add more courses like this in the future. Maybe an upgrade of this one or something. But this was sincerely very good. I'm definitely recommending this for my friends""""""",Finance: Time Value of Money,10/10 stars,,2018-08-06,Olufunke Femi Ojo
"""""""I love how the content is broken down in simple logical terms.  This program is making sense of all those years of Algebra that I painfully went through, just to feel defeated at the end.  Here I have a new understanding of how easy finance can be and it also gives me examples that I know will help me in the near future of my work.""""""",Finance: Time Value of Money,10/10 stars,,2018-08-05,Lisa  Kelly
"""""""Great introduction to a use of finance terms that have been unnneccesary in my career up to now.  The ability to practice additionally along the way was definitely helpful in getting a better grasp of the multi year flow of cash.""""""",Finance: Time Value of Money,10/10 stars,,2018-08-05,student
"""""""Great resource for beginners and a refreshment for seasoned students. Makes learning easy and fun. Highly recommend this to others. A fresh approach by a very creative supplier, I realt look forward to learning more.Smartly is the future for learning Thea make the whole even more fun!""""""",Finance: Time Value of Money,10/10 stars,,2018-08-04,student
"""""""I appreciate the approach as it allows for small incremental steps to reach a full understanding of the theories and formulas presented in the course.""""""",Finance: Time Value of Money,10/10 stars,,2018-08-03,Brittany Butler
"""""""This is a great study. I enjoyed every bit of the session. I agree it is a smarter way to take your MBA.""""""",Finance: Time Value of Money,9/10 stars,,2018-07-31,student
"""""""Cool course. So there is more course lessons after this one module course is there yes this is a cool course. Here is a suggestion how about a course certification in engineering.""""""",Finance: Time Value of Money,10/10 stars,,2018-07-31,Michael Preedom
"""""""This is such an interesting exercise!!! I enjoyed taking it up. Highly recommended! :) This is really the smarter way to take your MBA. I am studying and reviewing anywhere using my mobile phone. It's really an exciting way to take your MBA. You learn as much with less the time. Not to mention that the exercises are direct to the point. This is MBA simplified. You will learn as much without the grueling work inside the classroom. 

I can't wait to check our next lessons. I admire the creators of this project. Let's do it the smarter way. :)""""""",Finance: Time Value of Money,9/10 stars,,2018-07-31,student
"""""""Very clear and helpful. All I can say is ..Thank you for this interactive course with a fantastic interface. Learn is seems more easy for anyone who is interested.""""""",Finance: Time Value of Money,10/10 stars,,2018-07-30,student
"""""""So many questions I have had over the past twelve years about finances and accounting was answered through the course, very easy and efficient delivery of knowledge""""""",Finance: Time Value of Money,10/10 stars,,2018-07-30,Jean-Louis Viljoen
"""""""Thank you for this course, everyone who helped doing this has done a great job.
A lot of fun enrolling the course
Keep up the good job
Great chance to hear about smart.ly""""""",Finance: Time Value of Money,10/10 stars,,2018-07-26,Zeyneb Lounis
"""""""This is an excellent setup for beginners and the questions were laid out in such a way that they were fully explained before encountered. For me, this surely reinforced concepts I learned some time back! Very easy to use as well.""""""",Finance: Time Value of Money,10/10 stars,,2018-07-26,Ryan Campbell
"""""""It was interesting. The explanations are clear and understandable. The exampls are usefull to make the right calculation and were taking from the life.  It is good to remind myself the basics.""""""",Finance: Time Value of Money,10/10 stars,,2018-07-25,Sergii Kolenchenko
"""""""Instructions are clear and concise. The user interface is one of the best I've seen so far in an interactive course. I would love to see other disciplines done this way on smartly.""""""",Finance: Time Value of Money,10/10 stars,,2018-07-24,Avezou Petit Frere
"""""""Loved the course. It was very clear and understandable. I've never really like math but the way it was explained made it really easy for me. Learning was fun and I can't wait to jump into the next course""""""",Finance: Time Value of Money,10/10 stars,,2018-07-24,Kikelomo Blavo
"""""""Incredibly useful. The interface is fantastic, and I loved that I could switch from PC to smartphone depending on where I am. Easy to learn and easy to understand!""""""",Finance: Time Value of Money,10/10 stars,,2018-07-23,student
"""""""The course was clear and concise and found it very easy to follow. Gained greater understanding than from a text. Understand and retained the concepts of each lesson and the formulas for each concept. The problems were relevant and easy to follow.
Would recommend this type of lesson structure for other Finance and Accounting Students. Understand how these lessons apply to the real world.""""""",Finance: Time Value of Money,10/10 stars,,2018-07-23,student
"""""""You learn at ease, truly a useful experience. At first I was thinking it could be challenging to understand finance, but this proved me wrong. Thank you smartly.""""""",Finance: Time Value of Money,10/10 stars,,2018-07-22,Firas Gadoura
"""""""I absolutely loved this course. I found it to be so much more effective than reading a textbook or listening to lectures or more traditional online courses. I really absorbed the information. The pacing is great and really well designed.""""""",Finance: Time Value of Money,10/10 stars,,2018-07-18,Elizabeth Weir
"""""""I loved the way topic is organized to learn in a simple and effective way. By far, the best way to learn concepts in my view. Great job Smart.ly! I was able to finish this easily and enjoyed the course.""""""",Finance: Time Value of Money,10/10 stars,,2018-07-17,student
"""""""Insightful and encouraging. 
It has helped in giving my a concise view on marketing. 
I enjoy every bit of the course and I look forward to being considered into a full MBA program which of course will aid me getting a job.""""""",Marketing Fundamentals,10/10 stars,,2018-08-17,student
"""""""Insightful and encouraging. 
It has helped in giving my a concise view on marketing. 
I enjoy every bit of the course and I look forward to being considered into a full MBA program which of course will aid me getting a job.""""""",Marketing Fundamentals,10/10 stars,,2018-08-17,Marcus Danjuma Sule
"""""""These courses a invaluable for me. In my role as Acting Plant Manager the information I van absorbere in these courses will make me a better Manager. This fresh approach to learning is really great. Highly recommend these courses for everyone.""""""",Marketing Fundamentals,10/10 stars,,2018-08-09,student
"""""""This is an excellent course. A whole lesson on marketing made easy in an hour. I have learnt a lot and it will help me in my consulting aspirations and works. It will help me in my businesses and other projects I will embark on. Well done.""""""",Marketing Fundamentals,10/10 stars,,2018-08-07,Eric Kwetey
"""""""Course content and interface Superb. My BA marketing degree achieve in only one day. I am grateful for this high tech approach to lead me to earn my perfume MBA soon online.Spot on Marketing fundamentals.""""""",Marketing Fundamentals,10/10 stars,,2018-08-06,Ken Mulera
"""""""This course provides easy and live mode to learn. Interesting of this methodology is we almost forget about everything and enter into the world of smartly education world. That much interesting and concepts in nutshell.""""""",Marketing Fundamentals,10/10 stars,,2018-08-04,student
"""""""The course offers the absolutely necessary key points on marketing and includes the real-world examples which both are clearly communicated.
Previously chaotic set of subject matter facts is now well organized in my head, and I understand why the service my team is offering is not very successful and what I can do to improve the situation.""""""",Marketing Fundamentals,10/10 stars,,2018-07-27,Olga Galaiko
"""""""Great course and great way of passing information
Really helpfull and fun to use 
Well programed and planned courses 
I did enjoy This course as I never enjoy a university""""""",Marketing Fundamentals,10/10 stars,,2018-07-24,Zeyneb Lounis
"""""""This is an amazing course, a little challenging but it was fun. Totally enjoyed the learning process. I am definitely going to be taking more courses on here. The course was easy to understand.""""""",Marketing Fundamentals,10/10 stars,,2018-07-23,Kikelomo Blavo
"""""""Started my own business 3+ years ago with no MBA background. This course is super fun, conversational, and really help me see some of the basic marketing I have already been doing and what I have not! A truly enjoyable learning experience""""""",Marketing Fundamentals,10/10 stars,,2018-07-11,E. L.
"""""""Definitely a great course for beginners and even the experienced who could use a refresher. Working in the B2B world, it's easy to dismiss some basic marketing tactics and think that it won't work. But this course really covers the foundation for all of marketing.""""""",Marketing Fundamentals,10/10 stars,,2018-06-29,student
"""""""Interesting examples that is challenging and informative. I especialy like the course layout with questioning that triggers participation. Scoring makes it even challenging.""""""",Marketing Fundamentals,10/10 stars,,2018-06-25,ERIC G N ANG
"""""""Clear and straight forward presentation that made learning this material fun.  It moves quick and makes retaining the information easy through interesting stories.  I'm hooked, moving onto the next course!  Keep it up!""""""",Marketing Fundamentals,10/10 stars,,2018-06-12,Dane Reynolds
"""""""I am impressed at the quality of this course i got so inclined that i could not do anything else until i was done. Please keep it up its openning a new wave of learning methods.""""""",Marketing Fundamentals,10/10 stars,,2018-06-12,Abidemi Uruejoma
"""""""Very good information, perfect length of course. Some refresher material from college classes but presented in a much more informative way. Love it. Looking forward to more.""""""",Marketing Fundamentals,10/10 stars,,2018-06-11,Jim Leary
"""""""Very good information, perfect length of course. Some refresher material from college classes but presented in a much more informative way. Love it. Looking forward to more.""""""",Marketing Fundamentals,10/10 stars,,2018-06-11,student
"""""""These course are great refreshers and make you think. Since I do not have a great deal of time to study, the under 10 minute format is a great idea. It provides me with a chance to work on my degree on my breaks.""""""",Marketing Fundamentals,10/10 stars,,2018-06-11,Louisa ES
"""""""Great course, even as a refresher! Highly recommend this for people in the go. User-friendly interface. Easy to use on all your smart devices, including Kindle Fire and Android cell phone.""""""",Marketing Fundamentals,10/10 stars,,2018-06-10,HANALORE VAN WINKLE
"""""""Great to learn the fundamentals in marketing, and creating confidence in entrepreneurship. The online learning style allows me to learn on this topic whilst on the train or in between other activities. Looking forward to applying frameworks such as VP (value proposition), SWOT analysis, the 4Cs and 4Ps.""""""",Marketing Fundamentals,10/10 stars,,2018-06-02,Janice La
"""""""Great lesson to learn the systematic methodology of doing marketing for both B2C and B2B products, from situational analysis to unique selling proposition.""""""",Marketing Fundamentals,10/10 stars,,2018-05-29,Marvin Ong
"""""""Great way to understand how to use business frameworks such as 4Cs,SWOT analysis etc.I have read other MBA textbooks, but this course is absolutely the best.""""""",Marketing Fundamentals,10/10 stars,,2018-05-19,Ayako Yamazaki
"""""""Great way of learning and reviewing your previous studies and experiences. One of the most critical areas is giving wide range of examples to ensure the information is delivered correctly. Totally worth the time and effort as it takes you to different critical thinking of marketing and marketing management.""""""",Marketing Fundamentals,10/10 stars,,2018-05-16,OSAMA Karam
"""""""As a voracious consumer of all things marketing I can say that this course series will be of value to anyone who wants to learn the core fundamentals of effective marketing. Absolutely loved the course; the flow of this course was smooth, the interface perfect for a mobile device, the sequence logical and the flow of information was well designed.""""""",Marketing Fundamentals,10/10 stars,,2018-05-09,Jon Greenstein
"""""""Important one!
The instructors and providers are also helpful and always ready to answer our question.
I am so excited when i start this course last two weeks.
As i said above it will be neccesary material on my future life.""""""",Marketing Fundamentals,8/10 stars,,2018-04-29,student
"""""""Great overview of why you need a marketing strategy before you start promoting your brand and how to create one. Every business owner needs this understanding before launching!""""""",Marketing Fundamentals,10/10 stars,,2018-04-22,Cora Hirashiki
"""""""Such a powerful tool.  I don't ever want to  advertise without this knowledge again.  I won't just throw my money aimlessly at the wrong target with these marketing skills.""""""",Marketing Fundamentals,10/10 stars,,2018-04-22,Kendrick Moton
"""""""Very informative and interesting. Connected well with my job experience and learned the fundamentals that I had already applied during my current job. Got a good understanding of fundamentals of marketing.""""""",Marketing Fundamentals,8/10 stars,,2018-04-09,Imran Javed
"""""""Very comprehensive and informative course. Excellent for those without knowledge in the area. The approach used in these courses is great to engage the audience.""""""",Marketing Fundamentals,9/10 stars,,2018-04-09,Nuria Coll Bastus
"""""""Really i am so glad and lucky because i get more knowledge more than expected.
The course and it's all over system of providing all activities and informations are usefull course, moderately intrested, easy to understand all the contents, valuable, advantegious and I should be continued by giving more time to study and to learn more and more.
I would like to say thank you very much for your support.""""""",Marketing Fundamentals,8/10 stars,,2018-04-03,Nigus Hiluf Abay
"""""""Great approach to make things easier. Excellent for those who find marketing difficult to understand. It is fun, easy, and educational. The delivery is simple yet it covers more information for one to benefit from. Excellent.""""""",Marketing Fundamentals,10/10 stars,,2018-03-22,Rakesh Dangar
"""""""Lovely...So far so good! Really enjoying the content and engagement... Makes learning fun, which is the most important part! Two certificates completed so far, five more to go!""""""",Microeconomics: Supply and Demand,10/10 stars,,2016-07-03,Ryan Morrison
"""""""I loved this lesson. It is great and much simple to grasp. Economics made simple for all levels of persons to study. I love the hardwork of Smartly and Pedago LLC.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-08-07,Eric Kwetey
"""""""Very smart collaborative Interface for micro economics. It was challenging but real spot on economics, the like I did year one BA Marketing, London South Bank University. Great to behold in. Short time.
I remembered the economics tutor.
Was great.
Wonderful.
I have to keep learning to Learn and relearn. Period.
This is the most wonderful challenge.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-08-06,Ken Mulera
"""""""A great challenging, useful, pactical, helping and very smart  way of learning.
Really enjoyed the course of microdynamics more than I ever runned a course""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-07-26,Zeyneb Lounis
"""""""Really enjoying the content and engagement. It Makes learning fun, which is the most important part! Two certificates complete and grow in knowledge.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-07-22,student
"""""""I'm loving this so far. Content is explained clearly and simply! Wonderful lessons,  broken into bite sized pieces I can sneak into my day around other activities.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-07-13,Jaime Weis
"""""""Really love the way the course outline is broken down into simplified and easily relatable units that aids understanding and fosters knowledge retension. It is highly recommended for folks who want to get to the nitty gritty of particular topics and stay updated.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-07-10,Joseph Uaboi
"""""""Great interaction. The course presentation make it more interesting. I clearly understand micro economics now much more better than I did before.
Thank Smartly.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-07-04,student
"""""""Great interaction. The course presentation make it more interesting. I clearly understand micro economics now much more better than I did before.
Thank Smartly.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-07-04,student
"""""""Just the perfect study I've been desiring! Great content and perfect study mode. I would fully recommend this course to my other friends who wanted to pursue this career pathway. I enjoyed learning this way, more flexible and easy to do. So far I have completed the first three units and I look forward to going through the next lot of units.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-07-01,student
"""""""I love how interactive and efficient the classes are in teaching and testing new information. Pleasant visuals and friendly interactions are also fun! Making learning fun!""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-04-14,Vikki Yaffe
"""""""Great course, even as a refresher! Highly recommend this for people in the go. User-friendly interface. Easy to use on all your smart devices, including Kindle Fire and Android cell phone.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-06-10,HANALORE VAN WINKLE
"""""""I've never broken down my costs and revenues this way. Cant wait to hit excel and put this into practice. Combining this with what I learnt in the previous accounting module is very helpful.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-06-02,Chris Bergen
"""""""I truly enjoy the process of learning Microeconomics with the carefully curated materials. The contents are relevant to daily life, easy to comprehend and stimulating my brain cells to work more efficiently with Q&A.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-05-27,Marvin Ong
"""""""Very good and helpful resource. Really enjoying. Learning has never been so fun. Its completely scenario based, so learning with fun which should be most important thing, then students would be more interested to learn . For beginner's it is the best resource.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-05-23,student
"""""""I love the cousrese, for they are so fun, comphrehensive and interesting. Though, it consists of many of points which learners have to understand and enhance learners' understandings.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-05-18,Eugene SANGHEON WOO
"""""""Great explanation. I especially like all the imagined cases with made up characters. They are so cute and personable that you can easily relate to someone and something that you've come across in your life. This is certainly helping you learn better.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-05-17,Xiang Li
"""""""I really like the way this program is set up. Its fun and easy to learn with. I have completed 2 certificates and completed the first lesson of chapter 2. I like that I am able to post what I am complete right over to my LinkedIn account.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-05-14,Louis Shaw
"""""""Such a feared subject made into a harmless topic to be discussed with knowledge and depth.  ""Discussed."", I say.  Not that one should feel disgusted. Or, that one should dodge.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-04-21,Kendrick Moton
"""""""Very comprehensive and informative course. The format and the examples provided are excellent to deliver the subject in a very clear and comprehensive way, maximising the learning of the student.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-04-09,Nuria Coll Bastus
"""""""I quite remember when i was learning this subjects. It was a daunting tasks. Even though its not a hard course, it can be confusing if not thought well. Both the content and the provider was excellent. They made it fun and easy to understand, thereby grasping the idea. Very interested and surprisingly, I have developed the desire to pursue and learn more.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-02-27,Rhoda Nimako
"""""""Excellent review of Microeconomics topics. The bite-sized learning approach definitely kept me engaged. The contents were easy to understand with real word problems. Review score and certificate motivates me.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-03-22,Rakesh Dangar
